Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Walkabout Mini Golf VR,"Casual, Indie, Sports","Sports, Golf, Mini Golf, VR, PvP, 3D, First-Person, Casual, Historical, Colorful, Minimalist, Stylized, Fantasy, Pirates, 6DOF, Atmospheric, Multiplayer, Nature, Physics, Singleplayer",1.0,0.0,,"15 Jul, 2021",Mighty Coconut,Mighty Coconut,"English, French, German, Japanese, Korean, Simplified Chinese, Spanish - Latin America","(2,568)","(2,616)",48,"165.000,00₫",-30%
The Legend of Heroes: Trails into Reverie,RPG,"RPG, JRPG, Party-Based RPG, Anime, Story Rich, 3D, Turn-Based Combat, Singleplayer, Great Soundtrack",1.0,0.0,The Legend of Heroes,"7 Jul, 2023",Nihon Falcom,"NIS America, Inc.","English, Japanese",566,597,31,"705.000,00₫",-20%
The Jackbox Party Pack 4,"Casual, Indie, Strategy","Casual, Trivia, Local Multiplayer, Indie, Strategy, Funny, Multiplayer, Party Game, Party, Comedy, Board Game, Co-op, Family Friendly, 4 Player Local, Great Soundtrack, Local Co-Op",1.0,0.0,Jackbox Games,"18 Oct, 2017","Jackbox Games, Inc.","Jackbox Games, Inc.",English,"(2,769)","(2,911)",142,"321.000,00₫",-55%
魔女的夜宴,"Adventure, Casual","Sexual Content, FPS, Casual, Adventure, Dating Sim, Interactive Fiction, Hentai, Anime, Multiple Endings, Visual Novel, 2D Platformer, Drama, Cartoony, Mature, Singleplayer, Nudity, Cute, Story Rich",0.0,0.0,YUZUSOFT,"21 Jul, 2023",YUZUSOFT,HIKARI FIELD,"English, Japanese, Simplified Chinese, Traditional Chinese","(2,626)","(2,664)",38,"445.000,00₫",-24%
DRAGON BALL: THE BREAKERS,"Action, Adventure, Casual","Multiplayer, Survival, Anime, PvP, Online Co-Op, Funny, Villain Protagonist, Team-Based, Action, Stealth, Third Person, Character Customization, Superhero, Loot, Exploration, Co-op, Casual, Arcade, Destruction, Adventure",0.0,0.0,Bandai Namco Entertainment,"13 Oct, 2022",Dimps Corporation,Bandai Namco Entertainment,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America","(2,448)","(4,622)","(2,174)","280.000,00₫",-40%
Battlefield 3™,Action,"Action, Shooter, FPS, Singleplayer, Multiplayer, PvP, Team-Based, First-Person, Tactical, Destruction, Atmospheric, Violent, Military, Co-op, War, Story Rich, Controller",1.0,1.0,Battlefield,"28 Oct, 2011",DICE,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Japanese, Czech, Hungarian, Korean, Traditional Chinese","(6,673)","(9,755)","(3,082)","950.000,00₫",-92%
Choo-Choo Charles,"Action, Adventure, Indie","Survival Horror, Horror, Open World, First-Person, Trains, Singleplayer, Shooter, Dark, 3D, Action-Adventure, FPS, Adventure, Atmospheric, Indie, Psychological Horror, Choices Matter, Action, Thriller, Hand-drawn, Sexual Content",0.0,1.0,,"9 Dec, 2022",Two Star Games,Two Star Games,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Italian, Czech, Danish, Dutch, Hungarian, Portuguese - Portugal, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Hindi, Ukrainian, Vietnamese","(11,922)","(12,975)","(1,053)","260.000,00₫",-50%
Songs of Syx,"Indie, Simulation, Strategy, Early Access","Early Access, City Builder, Colony Sim, Strategy, Base Building, Singleplayer, Sandbox, Grand Strategy, Building, 2D, Top-Down, Simulation, Pixel Graphics, Combat, Survival, Moddable, Open World, Medieval, Fantasy, Economy",0.0,0.0,,"21 Sep, 2020",Gamatron AB,Gamatron AB,English,"(3,021)","(3,113)",92,"321.000,00₫",
Wedding Witch,"Action, Indie, RPG","Sexual Content, Mature, Action Roguelike, NSFW, Hentai, Roguelike, Action, Casual, Action RPG, RPG, 3D, Isometric, Top-Down, Fantasy, Survival, Romance, Anime, Multiple Endings, Linear, PvE",1.0,1.0,,"3 Nov, 2023",Chowbie,Chowbie,"English, Japanese, Korean, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(1,543)","(1,718)",175,"73.500,00₫",-25%
A.V.A Global,"Action, Massively Multiplayer, Free to Play","FPS, PvP, Free to Play, Competitive, Shooter, First-Person, Action, Multiplayer, Military, Sniper, Massively Multiplayer, Singleplayer, Violent, PvE, Sexual Content, Online Co-Op, Co-op, Co-op Campaign, Strategy, Zombies",0.0,1.0,,"23 Aug, 2022",Valiant,Valiant,"English, Simplified Chinese, Japanese","(3,275)","(6,990)","(3,715)",Free,
RISK: Global Domination,"Casual, Free to Play, Strategy","Free to Play, Board Game, Multiplayer, Strategy, Turn-Based Strategy, War, Turn-Based, Tactical, Singleplayer, Casual, Tabletop, Turn-Based Tactics, Local Co-Op, Classic, Indie, Online Co-Op, Grand Strategy, Local Multiplayer, Psychological Horror, Massively Multiplayer",1.0,0.0,,"19 Feb, 2020",SMG Studio,SMG Studio,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Turkish, Portuguese - Brazil","(27,536)","(33,863)","(6,327)",Free,
Tricky Towers,"Casual, Indie","Party Game, Puzzle, Multiplayer, Physics, Casual, Building, Funny, Family Friendly, Cartoony, Arcade, Local Multiplayer, Online Co-Op, 4 Player Local, Local Co-Op, Singleplayer, PvP, Strategy, Party, Colorful, Stylized",1.0,0.0,,"2 Aug, 2016",WeirdBeard,WeirdBeard,"English, French, Italian, German, Spanish - Spain, Japanese, Russian, Portuguese - Portugal, Dutch, Simplified Chinese, Arabic, Finnish, Korean, Norwegian, Polish, Portuguese - Brazil, Swedish, Turkish, Romanian, Traditional Chinese","(12,890)","(14,244)","(1,354)","205.000,00₫",-70%
Station to Station,"Casual, Indie, Simulation, Strategy","Simulation, Relaxing, Puzzle, Cozy, Voxel, Nature, Wholesome, Atmospheric, Trains, Management, Procedural Generation, Cute, Transportation, Strategy, Casual, City Builder, Sandbox, Automation, Minimalist, Building",1.0,0.0,Prismatika,"3 Oct, 2023",Galaxy Grove,Prismatika,"English, Japanese, Simplified Chinese, Korean, Traditional Chinese, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese, Hindi, Malay",693,744,51,"239.000,00₫",-30%
,,,0.0,0.0,,,,,,,,,"625.000,00₫",-60%
Achilles: Legends Untold,"Action, Indie, RPG","Controller, Action RPG, Souls-like, Mythology, Isometric, Open World, Swordplay, Character Customization, Dark Fantasy, Inventory Management, PvE, Singleplayer, Co-op, Story Rich, Realistic, Combat, RPG, Multiplayer, Online Co-Op, 3D",1.0,1.0,,"2 Nov, 2023",Dark Point Games,Dark Point Games,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Italian, Japanese, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Russian, Ukrainian",778,997,219,"321.000,00₫",-40%
Longvinter,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access","Early Access, Multiplayer, Survival, Crafting, Open World, Sandbox, Open World Survival Craft, PvP, Adventure, Co-op, Building, Exploration, Cute, Action, Shooter, Nature, Economy, Walking Simulator, Action-Adventure, Stylized",1.0,0.0,,"24 Feb, 2022",Uuvana Studios,Uuvana Studios,"English, French, German, Spanish - Spain, Korean, Simplified Chinese, Thai, Dutch, Russian, Spanish - Latin America, Vietnamese, Italian, Portuguese - Portugal, Turkish, Japanese","(3,278)","(4,734)","(1,456)","180.000,00₫",-50%
,,,0.0,0.0,,,,,,,,,"900.000,00₫",-75%
Total War: EMPIRE – Definitive Edition,Strategy,"Strategy, Historical, Military, Grand Strategy, Turn-Based Strategy, War, Tactical, RTS, Multiplayer, Singleplayer, Turn-Based, Naval, America, Real Time Tactics, Great Soundtrack, Action, Turn-Based Tactics, Atmospheric, Classic, Adventure",0.0,0.0,Total War,"4 Mar, 2009",CREATIVE ASSEMBLY,SEGA,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Czech","(29,155)","(32,129)","(2,974)","367.000,00₫",-75%
DC Universe™ Online,"Action, Adventure, Massively Multiplayer, RPG, Free to Play","Free to Play, Superhero, MMORPG, Massively Multiplayer, Character Customization, Action, Comic Book, RPG, Adventure, Controller, Multiplayer, Third Person, Combat, Open World, Beat 'em up, Exploration, PvP, Fighting, Online Co-Op, Co-op",1.0,0.0,,"2 Nov, 2011",Dimensional Ink Games,Daybreak Game Company,English,"(16,057)","(19,934)","(3,877)",Free,
