Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Shape Shifter: Formations,"Action, RPG, Early Access","Early Access, Action Roguelike, Bullet Hell, Arena Shooter, Local Co-Op, Roguelite, Roguelike, Co-op, Twin Stick Shooter, RPG, Top-Down Shooter, Top-Down, Action, Sci-fi, Action RPG, Shoot 'Em Up, Arcade, Score Attack, 3D, Singleplayer",0.0,0.0,,"29 Sep, 2023",Castec Studios,Castec Studios,English,98,99,1,"102.000,00₫",-20%
How to Build a Magnificent Kingdom,"Indie, RPG, Strategy","RPG, Strategy, Indie, Sexual Content, Anime, Nudity, Hentai, Multiple Endings, Simulation, JRPG, Adventure, Mature, Memes, NSFW, Visual Novel",0.0,1.0,Kagura Games,"26 Aug, 2022",Irisfield,Kagura Games,"English, Japanese, Simplified Chinese",249,313,64,"220.000,00₫",-30%
BALAN WONDERWORLD,Action,"Casual, Puzzle, 3D Platformer, Action-Adventure, Platformer, Puzzle Platformer, 3D, Fast-Paced, Cute, Colorful, Anime, Cartoony, Exploration, Local Co-Op, Singleplayer, Emotional, Fantasy, Family Friendly, Music, Female Protagonist",0.0,0.0,,"26 Mar, 2021",Square Enix,Square Enix,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish",242,400,158,"1.499.000,00₫",-85%
EPHEMERAL -FANTASY ON DARK-,Adventure,"Adventure, Otome, Visual Novel, Female Protagonist, Romance, Anime",0.0,0.0,,"11 Sep, 2018",dramatic create,dramatic create,"English, Spanish - Spain, Traditional Chinese, Japanese",81,92,11,"310.000,00₫",-50%
Don Duality,"Casual, Indie, Strategy","Casual, Card Game, Roguelike, Roguelite, Management, Mouse only, Pixel Graphics, Clicker, Strategy, Funny, Simulation, 2D, Resource Management, Relaxing, Singleplayer, Tutorial, Cartoony, Minimalist, GameMaker, Point & Click",1.0,0.0,Ravenage,"25 Aug, 2023",Königsborgs,Ravenage Games,"English, Russian, French, Italian, German, Traditional Chinese, Simplified Chinese, Korean, Japanese, Portuguese - Brazil, Spanish - Spain",215,291,76,"205.000,00₫",-30%
Faeland,"Adventure, Indie, RPG, Early Access","Adventure, RPG, Indie, Early Access, Metroidvania, Pixel Graphics, 2D Platformer, 2D",0.0,0.0,,"5 Dec, 2023",Talegames,Talegames,English,69,72,3,"188.000,00₫",
Cadria Item Shop,"Casual, Free to Play, Indie, RPG, Simulation","Free to Play, Casual, Simulation, RPG, Indie, Crafting, Anime, Management",1.0,0.0,Orange Cat Studio,"23 Aug, 2018",Moehaus Co. Ltd,BEST KIRIN GLOBAL LIMITED,"English, Simplified Chinese, Traditional Chinese","(1,049)","(1,448)",399,Free,
Dungeon Golf,"Casual, Indie, Sports","Fantasy, Third Person, Cartoon, 3D, Comedy, Controller, Party Game, Physics, Mini Golf, Funny, Local Multiplayer, Golf, Multiplayer, Sports, Memes, Medieval, PvP, Family Friendly, Casual, Singleplayer",0.0,0.0,Ant Workshop Ltd,"17 Nov, 2023",Ant Workshop Ltd,Ant Workshop Ltd,English,43,48,5,"226.000,00₫",-40%
Filament,"Indie, Strategy","Puzzle, Difficult, Indie, Sci-fi, Story Rich, Strategy, Space, Beautiful, Great Soundtrack, Top-Down, Minimalist, Colorful, Singleplayer, Casual, 2D, Logic, Sandbox, Replay Value, Minigames, Female Protagonist",1.0,0.0,Kasedo Games,"23 Apr, 2020",Beard Envy,Kasedo Games,"English, French, German, Russian, Simplified Chinese, Japanese, Traditional Chinese, Korean, Portuguese - Brazil",567,642,75,"226.000,00₫",-77%
The Crown of Leaves,"Adventure, Casual, Indie","Visual Novel, Adventure, Indie, Story Rich, Point & Click, Fantasy, Atmospheric, Choices Matter, Singleplayer, 2D, Mystery, Hand-drawn, Puzzle, Dark, Colorful, Nonlinear, Emotional, LGBTQ+, Casual, Funny",1.0,0.0,,"26 Nov, 2018",Lingrimm,The Broken Horn,"English, Russian","(1,797)","(1,862)",65,"70.000,00₫",-30%
Wolf Tails,"Casual, Indie","Sexual Content, Visual Novel, Nudity, Anime, Mature, NSFW, Romance, Indie, Casual, Hentai, LGBTQ+, Drama, Female Protagonist, Singleplayer, Psychological Horror",1.0,0.0,Razzart Visual,"4 May, 2018",Razzart Visual,Razzart Visual,English,838,874,36,"120.000,00₫",-65%
Crisis Brigade 2 reloaded,"Action, Casual, Indie","Action, VR, Indie, Violent, Shooter, Arcade, FPS, Early Access, First-Person, War, Old School, 6DOF, Blood, Singleplayer",0.0,1.0,Crisis VRigade,"9 Jun, 2020",Sumalab,Sumalab,"English, Spanish - Spain, Simplified Chinese",239,288,49,"188.000,00₫",-50%
We. The Revolution,Strategy,"Historical, Political Sim, Choices Matter, Adventure, Simulation, Singleplayer, Investigation, Strategy, Story Rich, Turn-Based, Crime, Point & Click, Thriller, Mature, Puzzle, Hand-drawn, Visual Novel, Action, Action-Adventure, Crafting",0.0,1.0,Revolution Titles,"21 Mar, 2019",Polyslash,Klabater,"English, Polish, French, Russian","(1,443)","(1,857)",414,"260.000,00₫",-75%
8-Bit Invaders!,"Indie, Simulation, Strategy","Strategy, Indie, Simulation, RTS, Multiplayer, Pixel Graphics, Singleplayer, Co-op, Action, Great Soundtrack, Aliens, Sci-fi, Voxel, Retro, Local Multiplayer, Online Co-Op, War, Military, PvP",1.0,0.0,,"16 Dec, 2016",Petroglyph,Petroglyph,"English, French, German, Hungarian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Italian, Spanish - Spain, Arabic, Dutch, Romanian, Turkish",346,418,72,"205.000,00₫",-50%
Undead Horde,"Action, Adventure, Indie, RPG","Villain Protagonist, RPG, Action, Adventure, Indie, Zombies, Hack and Slash, Singleplayer, Magic, Fantasy, Action RPG, Loot, Top-Down, Atmospheric, Exploration, Dark, Funny, Replay Value, Classic, Dark Humor",0.0,0.0,10tons Ltd,"15 May, 2019",10tons Ltd,10tons Ltd,"English, Spanish - Spain, Simplified Chinese, French, German, Finnish, Japanese, Korean, Portuguese - Brazil, Russian","(1,135)","(1,296)",161,"226.000,00₫",-75%
Jets'n'Guns 2,"Action, Indie","Action, Indie, Shoot 'Em Up, Great Soundtrack, Side Scroller, Bullet Hell, Colorful, 2D, War, Violent, Early Access, Difficult",0.0,1.0,,"24 Jul, 2020",Rake in Grass,Rake in Grass,English,"(1,055)","(1,165)",110,"215.000,00₫",-60%
Dreadhunter,"Action, Indie, RPG, Early Access","Early Access, Action, RPG, Action RPG, Shooter, Dungeon Crawler, Bullet Hell, Looter Shooter, Procedural Generation, Isometric, 3D, Character Customization, Gun Customization, Colorful, Cyberpunk, Sci-fi, Fantasy, Futuristic, Mechs, Robots",1.0,0.0,Trickster Arts,"18 Oct, 2023",Trickster Arts,Trickster Arts,"English, Czech, French, German, Portuguese - Brazil",43,56,13,"445.000,00₫",
Hand of Doom,"Indie, RPG","RPG, Adventure, Action-Adventure, Exploration, 3D, First-Person, FMV, Atmospheric, Dark, Dark Fantasy, Horror, Magic, Old School, Retro, Choices Matter, Combat, Open World, Story Rich, Fantasy, Singleplayer",0.0,1.0,,"16 May, 2023",Torple Dook,DreadXP,English,132,145,13,"142.000,00₫",-33%
NUTS,"Adventure, Simulation","Mystery, Walking Simulator, Stylized, Thriller, Capitalism, Story Rich, Puzzle, Nature, Conspiracy, Detective, Colorful, Singleplayer, Exploration, Immersive Sim, First-Person, Narration, Simulation, Minimalist, Time Manipulation, Atmospheric",1.0,0.0,,"4 Feb, 2021","Joon, Pol, Muutsch, Char & Torfi",Noodlecake,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",580,664,84,"188.000,00₫",-75%
The Immortal Mayor,"Simulation, Strategy","City Builder, Strategy, Simulation, Base Building, God Game, Survival, Colony Sim, Resource Management, Building, Singleplayer, Management, Sandbox, Cartoon, 3D Vision, 3D, Early Access, Stylized, Tower Defense",1.0,0.0,,"17 Aug, 2023",Star Chess Studio,Yooreka Studio,"English, Simplified Chinese","(1,851)","(2,749)",898,"188.000,00₫",-40%
Brass: Birmingham,Strategy,"Board Game, Strategy, Tabletop, Turn-Based Tactics, Tactical, Turn-Based Strategy, Economy, Building, Historical, Management, Score Attack, 2D, Singleplayer, Asynchronous Multiplayer",0.0,0.0,,"1 Dec, 2021",Cublo,Phalanx,"English, Polish, German, French, Spanish - Spain",270,424,154,"185.000,00₫",
9 Monkeys of Shaolin,"Action, Adventure, Indie, RPG","Online Co-Op, 3D, Third Person, Ninja, Colorful, Story Rich, Beat 'em up, Martial Arts, Action, Adventure, Co-op, Local Co-Op, Fighting, Side Scroller, Character Customization, Retro, Indie, Hack and Slash, 1990's, Singleplayer",1.0,0.0,,"16 Oct, 2020",Sobaka Studio,ESDigital Games,"English, Russian, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese",634,731,97,"260.000,00₫",-75%
HALF DEAD 2,"Action, Adventure, Massively Multiplayer","Survival, Gore, Co-op, Action, Adventure, Massively Multiplayer, Violent, Multiplayer, First-Person, Online Co-Op, Puzzle, Horror, PvP, Singleplayer, Early Access, Indie, Character Customization",0.0,1.0,Half Dead,"2 Aug, 2019",Room710Games,Room710Games,"English, Russian, French, German, Spanish - Spain, Dutch, Japanese, Simplified Chinese, Thai, Danish, Italian, Czech, Swedish, Hungarian, Norwegian, Korean, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Greek, Polish, Romanian, Traditional Chinese, Turkish, Ukrainian","(1,863)","(2,199)",336,"70.000,00₫",-50%
Shakedown: Hawaii,"Action, Adventure, Indie","Open World, Top-Down Shooter, Twin Stick Shooter, Sandbox, Driving, 2D, Building, Character Customization, Top-Down, Pixel Graphics, Funny, Parody, Action, Story Rich, Colorful, Crime, Comedy, Adventure, 1990's, Retro",0.0,0.0,,"20 Oct, 2020","Vblank Entertainment, Inc.","Vblank Entertainment, Inc.",English,361,401,40,"188.000,00₫",-80%
Wolvesville,"Casual, Indie, Strategy, Free to Play","Werewolves, PvP, Strategy, Party-Based RPG, Strategy RPG, Character Customization, 2D, Cute, Conversation, Deckbuilding, Team-Based, Casual, Text-Based, Cartoony, Colorful, Fantasy, Medieval, Mystery, Cartoon, CRPG",0.0,0.0,,"1 Sep, 2023",Wolvesville GmbH & Co. KG, Wolvesville GmbH & Co. KG ,"English, French, Italian, German, Spanish - Spain, Arabic, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Czech",506,600,94,Free,
Heroes of the Three Kingdoms 6,"RPG, Simulation, Strategy","Strategy, Strategy RPG, Singleplayer, 2D, Military, Turn-Based Tactics, RTS, Turn-Based Strategy, Wargame, Base Building, RPG, Simulation, Historical, Grand Strategy, PvE, Moddable",0.0,0.0,三國群英傳,"12 Nov, 2020","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd.","English, Traditional Chinese",111,133,22,"65.000,00₫",-40%
Revhead,"Action, Adventure, Casual, Indie, Racing, Simulation, Sports, Strategy","Automobile Sim, Simulation, Building, Racing, Sports, Indie, Strategy, Singleplayer, Driving, Management, Open World, Sandbox, First-Person, Realistic, Anime, Logic, Crafting, Physics, Memes, Choices Matter",1.0,0.0,,"9 Mar, 2017",Creative Pudding Hungary Llc.,Creative Pudding Hungary Llc.,"English, Czech, Danish, Hungarian, Turkish, Ukrainian, Romanian, French, German, Spanish - Spain, Dutch, Portuguese - Brazil, Italian, Polish",497,597,100,"236.000,00₫",-25%
Serious Sam VR: The First Encounter,"Action, Indie","Action, VR, Indie, Early Access, FPS, Violent, Gore",0.0,0.0,Serious Sam,"30 Mar, 2017",Croteam VR,Devolver Digital,English,552,636,84,"260.000,00₫",-70%
TYRONE vs COPS,"Action, Indie","America, Action, Memes, Dark Comedy, Satire, Dark Humor, Comedy, Arcade, Short, Parody, Third-Person Shooter, Funny, Shooter, 3D, Third Person, Combat, Singleplayer, Hero Shooter, God Game, Sexual Content",1.0,1.0,CUCKOLD SIMULATOR,"12 Feb, 2022",Team SNEED,Team SNEED,English,"(1,879)","(1,975)",96,"15.000,00₫",-27%
Smilemo,"Action, Adventure, Indie","Action, Adventure, Platformer, 2D, 2D Platformer, Side Scroller, Pixel Graphics, Memes, Funny, Indie, Family Friendly, Hacking, Controller, Singleplayer, Difficult",0.0,0.0,"CFK Co., Ltd.","19 May, 2022",REXECHO,"CFK Co., Ltd.","English, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, Korean",541,673,132,"120.000,00₫",-40%
GUILTY GEAR,Action,"Action, Fighting, Classic, 2D Fighter, Anime, Singleplayer, Local Multiplayer, Controller, Great Soundtrack, eSports, Arcade, Pixel Graphics, Retro",0.0,0.0,,"15 May, 2019",Arc System Works,Arc System Works,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean",378,443,65,"120.000,00₫",-68%
Blue Wednesday,"Adventure, Casual, Indie, Simulation","Colorful, Point & Click, Relaxing, Choices Matter, Story Rich, Hand-drawn, Emotional, Cozy, Stylized, Exploration, Puzzle, Atmospheric, Controller, 2D, Cartoony, Visual Novel, Romance, Singleplayer, Adventure, Drama",1.0,0.0,,"28 Aug, 2023",Buff Studio,Buff Studio,"English, Korean, French, German, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish",80,88,8,"188.000,00₫",-40%
Champions of Breakfast,"Action, Indie","Indie, Action, Bullet Hell, Difficult, Arcade, Memes, Roguelite",1.0,0.0,Pirate Software,"23 Jun, 2016",Pirate Software,Pirate Software,"English, German, Russian",141,142,1,"45.000,00₫",-20%
PowerWash Adventure,"Casual, Indie, Simulation","Simulation, Casual, Immersive Sim, Life Sim, FPS, First-Person, Singleplayer, 3D Vision, Level Editor, Relaxing, Atmospheric, Physics, Immersive, Shooter, 3D, Realistic, Sports, Class-Based, Asynchronous Multiplayer, Anime",0.0,0.0,,"13 Dec, 2023",Grass Digital Technology,Grass Digital Technology,"English, Simplified Chinese, French, German, Spanish - Spain, Russian, Japanese, Portuguese - Portugal",25,29,4,"155.000,00₫",
Titanic VR,"Action, Simulation","Simulation, Action, VR, Underwater",0.0,0.0,,"16 Aug, 2018",Immersive VR Education Ltd,Immersive VR Education Ltd,English,219,266,47,"188.000,00₫",
Fallen Hero: Retribution,"Action, Adventure, Casual, Indie, RPG","Casual, RPG, Text-Based, Adventure, Action, Action RPG, Sci-fi, Indie, Singleplayer, Villain Protagonist, LGBTQ+, Choices Matter, Choose Your Own Adventure, Interactive Fiction, Superhero, Romance",0.0,0.0,,"2 Feb, 2023",Hosted Games,Hosted Games,English,296,300,4,"170.000,00₫",-34%
Nancy Drew®: The Phantom of Venice,Adventure,"Adventure, Point & Click, Puzzle, Classic, Story Rich, Great Soundtrack, Funny, 2.5D, Family Friendly, Drama, Mouse only, Female Protagonist, Detective, Atmospheric, Exploration, Casual, 2D, Retro, 1990's, Remake",0.0,0.0,,"1 Jul, 2008",HeR Interactive,HeR Interactive,"English, German",137,153,16,"90.000,00₫",-50%
China: Mao's legacy,"Indie, Simulation, Strategy","Political Sim, Strategy, Simulation, Indie, Politics, Cold War, Political, Management, RPG, Strategy RPG, Grand Strategy, CRPG, Choose Your Own Adventure, Story Rich, Nonlinear, Singleplayer, Turn-Based Strategy, 2D, Minimalist, Diplomacy",1.0,0.0,,"24 May, 2019",Kremlingames,Kremlingames,"English, Russian",830,893,63,"102.000,00₫",-60%
XIII - Classic,Action,"Action, FPS, Comic Book, Classic, Stealth, Violent, Gore, Cult Classic, Singleplayer, Shooter, Stylized, First-Person, Story Rich, Great Soundtrack",0.0,1.0,,"18 Nov, 2003",Ubisoft Paris Studio,Microids,"English, French, Italian, German, Spanish - Spain","(1,857)","(2,065)",208,"80.000,00₫",-80%
ToriDori,"Adventure, Casual, Indie","Casual, Adventure, Hidden Object, Puzzle, Nature, 3D, Cute, Split Screen, Point & Click, Indie, Family Friendly, Mystery, Singleplayer, Creature Collector, Relaxing",0.0,0.0,,"6 Apr, 2023",Very Very LITTLE Studio,Very Very LITTLE Studio,"English, Simplified Chinese, Russian, Japanese",102,107,5,"100.000,00₫",-25%
Homeseek,"Indie, Simulation, Strategy","City Builder, Colony Sim, Post-apocalyptic, Story Rich, Survival, Simulation, Strategy, Base Building, Dystopian, PvP, Time Management, Singleplayer, 3D, Resource Management, Management, Indie, Choices Matter, Unforgiving, Real-Time, Multiplayer",1.0,0.0,The Iterative Collective,"20 Jul, 2023",Traptics,The Iterative Collective,"English, Japanese, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, French, German, Polish, Greek, Korean, Russian, Turkish",127,176,49,"321.000,00₫",-30%
FlowScape,"Casual, Indie, Simulation","Simulation, Sandbox, Design & Illustration, Nature, Building, Casual, Relaxing, Software, Indie, Animation & Modeling, Atmospheric, City Builder, Procedural Generation, Family Friendly, Dragons, Medieval, Dungeons & Dragons, God Game, Utilities",0.0,0.0,,"15 Aug, 2019",Pixel Forest Games,Pixel Forest Games,"English, Japanese, Simplified Chinese","(1,091)","(1,283)",192,"165.000,00₫",-60%
WRATH: Aeon of Ruin,"Action, Early Access","Action, FPS, Retro, Gore, Violent, Old School, Early Access, First-Person, Horror, Shooter, Arena Shooter, 1990's, Singleplayer, Atmospheric, Blood, Classic, Dark Fantasy",0.0,1.0,Fulqrum,"22 Nov, 2019",KillPixel,3D Realms,English,"(1,290)","(1,810)",520,"321.000,00₫",-20%
Reign Of Dwarf,"Action, Massively Multiplayer, Early Access","Early Access, Survival, Action, Base Building, Open World, Crafting, FPS, Sandbox, First-Person, Building, PvP, PvE, Multiplayer, Resource Management, Massively Multiplayer, Nudity, Open World Survival Craft, Dungeon Crawler, Combat, Medieval",0.0,0.0,,"30 Nov, 2023",AnkleBreaker Studio,AnkleBreaker Studio,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",115,157,42,"205.000,00₫",
Beyond Good and Evil™,"Action, Adventure","Adventure, Female Protagonist, Action, Third Person, Cult Classic, Stealth, Singleplayer, Classic, Sci-fi, Action-Adventure, Great Soundtrack, Story Rich, Open World, Emotional, Dystopian, Platformer, Atmospheric, Exploration, Conspiracy, Aliens",0.0,0.0,,"11 Nov, 2003",Ubisoft,Ubisoft,"English, French, German, Italian, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(2,769)","(3,208)",439,"83.000,00₫",
Flower girl 2,"Casual, Indie, Free to Play","Sexual Content, Nudity, Hentai, Mature, NSFW, Free to Play, Anime, Casual, Visual Novel, 2D Platformer, Match 3, First-Person, Cartoon, Story Rich, Singleplayer, Fantasy, Indie, Multiple Endings, Psychological Horror, FPS",1.0,1.0,9Garden,"21 Jul, 2022",9Garden,9Garden,"English, Japanese, Simplified Chinese, Traditional Chinese","(1,570)","(1,893)",323,Free,
Bots Are Stupid,"Casual, Indie","Logic, Coding, Programming, Score Attack, Level Editor, Precision Platformer, Hacking, Family Friendly, Robots, Futuristic, Automation, Puzzle, Casual, 2D Platformer, Asynchronous Multiplayer, Minimalist, Pixel Graphics, Stylized, Singleplayer, Platformer",1.0,0.0,Yogscast Games,"15 Dec, 2022",Leander Edler-Golla,Yogscast Games,English,105,129,24,"180.000,00₫",-50%
Sneak Thief,"Action, Indie, Strategy","Stealth, Action, Strategy, Indie, First-Person, Singleplayer, Heist, Early Access, Multiplayer, FPS, Puzzle, Horror, Shooter, Crime, Co-op, Open World, Gore, Difficult",0.0,1.0,,"6 Aug, 2016",Nicholas Rizzo,Nicholas Rizzo,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","(1,221)","(1,641)",420,"205.000,00₫",-50%
Forsaken Isle,"Action, Adventure, Casual, Indie, RPG, Early Access","Adventure, Survival, Pixel Graphics, Early Access, Crafting, Action, Indie, RPG, Casual, Sandbox, Singleplayer, 2D, Building, Pirates",0.0,0.0,,"6 Feb, 2015",Smoodlez,Smoodlez,English,246,407,161,"170.000,00₫",-30%
Just Dance 2017,Casual,"Music, Multiplayer, Rhythm, Casual, Family Friendly, Co-op, Singleplayer, Local Multiplayer, Memes, VR, Funny, Sports, Great Soundtrack",0.0,0.0,,"27 Oct, 2016",Ubisoft Paris,Ubisoft,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Danish, Finnish, Norwegian, Dutch, Portuguese - Brazil, Russian, Swedish","(1,588)","(2,010)",422,"825.000,00₫",
Batora: Lost Haven,"Action, RPG","Action RPG, RPG, Story Rich, Isometric, Twin Stick Shooter, Hack and Slash, Action-Adventure, Action, Female Protagonist, Puzzle, Adventure, Lore-Rich, Singleplayer, Choices Matter, Multiple Endings, Atmospheric, Colorful, Indie, Replay Value, Cinematic",1.0,0.0,Team17,"20 Oct, 2022",Stormind Games,Team17,"English, Italian, French, German, Spanish - Spain, Simplified Chinese, Korean, Japanese, Polish, Portuguese - Brazil, Russian, Turkish, Traditional Chinese",200,286,86,"500.000,00₫",-50%
Harmonia,"Adventure, Casual, Simulation","Adventure, Casual, Visual Novel, Anime, Simulation, Robots, Great Soundtrack, Story Rich, Post-apocalyptic, Sci-fi, Singleplayer",1.0,0.0,,"22 Sep, 2016",VisualArts/Key, VisualArts,"English, Japanese, Simplified Chinese",613,642,29,"120.000,00₫",-70%
Shovel Knight: Shovel of Hope,"Action, Adventure, Indie","Indie, Action, Adventure, Platformer, Pixel Graphics, 2D, Retro, Great Soundtrack, Difficult, Singleplayer, Co-op",0.0,0.0,Shovel Knight,"26 Jun, 2014",Yacht Club Games,Yacht Club Games,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",710,749,39,"165.000,00₫",
Isekai Succubus ~My Genderbent Saga in Another World~,"Indie, RPG","JRPG, RPG, Party-Based RPG, Visual Novel, Dungeon Crawler, Sexual Content, Anime, Cute, Fantasy, LGBTQ+, Funny, Singleplayer, Dating Sim, Turn-Based Combat, Comedy, Magic, Comic Book, Colorful, CRPG, Exploration",0.0,1.0,Eroge Japan,"14 Jan, 2022",Sakura Mangekyou,Eroge Japan,"English, Japanese, Simplified Chinese, Traditional Chinese",114,131,17,"205.000,00₫",-60%
Don't Escape Trilogy,"Adventure, Indie","Adventure, Indie, Horror, Point & Click, Pixel Graphics, Choices Matter, Mystery, Atmospheric, Singleplayer, Sci-fi, Thriller, Story Rich, 2D",0.0,1.0,scriptwelder,"29 Jul, 2019",scriptwelder,Armor Games Studios,English,331,332,1,"73.500,00₫",-75%
SPOOKWARE,"Action, Adventure, Indie, RPG","RPG, Colorful, Exploration, Dark Humor, Rhythm, Action, Mystery, Comedy, Horror, Minigames, Cartoony, Funny, Indie, Story Rich, Cute, Puzzle, Casual, Stylized, Fast-Paced, Point & Click",0.0,1.0,,"26 Aug, 2021",BEESWAX GAMES,DreadXP,English,577,618,41,"120.000,00₫",-33%
Ghost of a Tale,"Action, Adventure, Indie, RPG","Adventure, Stealth, Atmospheric, Cute, Singleplayer, RPG, Fantasy, Indie, Third Person, Medieval, Action, Open World, Funny, Narration, Story Rich, Action RPG, Exploration, Great Soundtrack, Horror, Puzzle",0.0,0.0,,"13 Mar, 2018",SeithCG,SeithCG,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese","(4,129)","(4,486)",357,"260.000,00₫",
Geneforge 1 - Mutagen,"Adventure, Indie, RPG, Strategy","CRPG, Dungeon Crawler, RPG, Turn-Based, Party-Based RPG, Strategy, Turn-Based Strategy, 2D, Isometric, Story Rich, Adventure, Turn-Based Combat, Fantasy, Grid-Based Movement, Old School, Indie, Retro, Singleplayer",1.0,0.0,,"24 Feb, 2021",Spiderweb Software,Spiderweb Software,English,322,340,18,"188.000,00₫",-60%
Dragon Star Varnir,"Action, Adventure, RPG","RPG, Adventure, Action, JRPG, Anime, Turn-Based Combat, Nudity, Fantasy, Sexual Content, Singleplayer, Dragons, Mystery",1.0,1.0,Idea Factory International,"8 Oct, 2019","Idea Factory, Compile Heart",Idea Factory International,"English, Japanese, Traditional Chinese",404,508,104,"310.000,00₫",-80%
Sunday Rivals,"Action, Indie, Simulation, Sports","Simulation, Football (American), America, Sports, Character Customization, Arcade, Action, 3D, Old School, PvP, Local Multiplayer, Indie, Singleplayer, Colorful, Retro, Early Access, Multiplayer, Family Friendly",0.0,0.0,,"16 May, 2022",26k,26k,English,231,250,19,"260.000,00₫",-25%
Eville,"Action, Adventure, Casual, Indie, RPG, Strategy","PvP, Online Co-Op, Co-op, Assassin, Conversation, Funny, Social Deduction, Werewolves, Casual, Multiplayer, RPG, Supernatural, Zombies, Colorful, 3D, Investigation, Diplomacy, Strategy, Cartoony, Action",1.0,0.0,Versus Evil,"11 Oct, 2022",VestGames,Versus Evil,"English, German, French, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Traditional Chinese, Spanish - Latin America",293,381,88,"175.000,00₫",-60%
Gunlocked,"Action, Indie, RPG","Shoot 'Em Up, Action Roguelike, Bullet Hell, Pixel Graphics, Action, Arcade, RPG, Roguelite, Shooter, Singleplayer, 2D, Top-Down, Retro, Aliens, 1980s, Futuristic, Sci-fi, Space, Combat, Character Customization",1.0,0.0,,"6 Dec, 2022",FromLefcourt,FromLefcourt,English,348,390,42,"73.500,00₫",-70%
Ymir,"Indie, Simulation, Strategy, Early Access","City Builder, Colony Sim, Strategy, Multiplayer, Economy, Simulation, 4X, Indie, Building, Early Access, Grand Strategy, Alternate History, Historical, Management, Massively Multiplayer",0.0,0.0,,"16 Mar, 2019",Thibaud Michaud,Thibaud Michaud,"English, French",780,"(1,033)",253,"280.000,00₫",-50%
Aven Colony,"Indie, Simulation, Strategy","Colony Sim, City Builder, Strategy, Simulation, Sci-fi, Base Building, Indie, Space, Singleplayer, Survival, Resource Management, Management, Sandbox",1.0,0.0,Team17 Digital,"25 Jul, 2017",Mothership Entertainment LLC,Team17 Digital Ltd,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Italian","(1,777)","(2,395)",618,"600.000,00₫",-90%
Genesis Alpha One Deluxe Edition,"Action, Adventure, Indie, RPG, Simulation","Sci-fi, Action Roguelike, FPS, Base Building, Open World, Roguelite, Horror, Management, Building, Space Sim, Survival, Roguelike, First-Person, 3D, Space, Post-apocalyptic, Procedural Generation, Multiple Endings, Survival Horror, Action",0.0,1.0,Team17 Digital,"25 Feb, 2020",Radiation Blue,Team17 Digital Ltd,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese","(1,516)","(2,208)",692,"400.000,00₫",-80%
